driver_id,kvs_filename,kvs_tag,kvs_sha256,kvs_authenti_sha256,tbs_sha256
0f749d4e-145e-4b8e-bea6-47003d228043,,ecsiodriverx64.sys,7de1ce434f957df7bbdf6578dd0bf06ed1269f3cc182802d5c499f5570a85b3a,5cbe195ef5e86f705c8290602ae688e1835e7385ed68ae264c4795e425c1645f,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
ea0e7351-b65c-4c5a-9863-83b9d5efcec3,ampa.sys,ampa.sys,01d51df682136cce453bb1da8964073e6bc7297ce4dae7301c753bb618a69469,fcae081ec5093f2f794e0fe32456a07d2294decea356ba84f5ca7c0af407b671,03cda47a6e654ed85d932714fc09ce4874600eda29ec6628cfbaeb155cab78c9
e5f12b82-8d07-474e-9587-8c7b3714d60c,zam64.sys,zam64.sys,d7e091e0d478c34232e8479b950c5513077b3a69309885cee4c61063e5f74ac0,1a166e70dcaf3ef12836db1927953ee528e532cdae8165e67d776971e4cbc48c,92914d016cc46e125e50c4bd0bd7f72db87eed4ba68f3c589b4e86aa563108db
9c3c6e89-3916-498f-81e5-da057ab3ed42,windbg.sys,windbg.sys,5b932eab6c67f62f097a3249477ac46d80ddccdc52654f8674060b4ddf638e5d,6ee267fc3d0ac2662a9cfdb0ed5a2354ee09ef4c218303f20350177cae125cf7,2cd702a7dec30aa441345672e8992ef9770ce4946f276d767b45b0ed627658fb
205721b7-b83b-414a-b4b5-8bacb4a37777,elrawdsk.sys,elrawdsk.sys,5a826b4fa10891cf63aae832fc645ce680a483b915c608ca26cedbb173b1b80a,29a2ae6439381ea2aa3116df7025cbb5c6c7c07cc8d19508e6021e4d6177a565,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
5969b6dc-b136-480e-a527-3cb2ea2f0da9,hw.sys,hw.sys,55963284bbd5a3297f39f12f0d8a01ed99fe59d008561e3537bcd4db4b4268fa,25bc1b72ba6092674ec561d7de8f5e4a7adb23c29fa68de5b29a30a671257dac,b7347983521d490b380cc89242a926377785b57661f2b2332ab2750920e607d5
5ad8a3b6-6d20-4c95-8fa7-9a507167ba3c,,netfilter2.sys,db1dbb09d437d3e8bed08c88ca43769b4fe8728f68b78ff6f9c8d2557e28d2b1,e9b433a33dc72eb2622947b41f01d04a48cd71beac775a88f3f1e4c838090ee8,d8be9e4d9074088ef818bc6f6fb64955e90378b2754155126feebbbd969cf0ae
fa612342-5ae0-4e69-ad9c-14d574d9fb1e,,dellbios.sys,0584520b4b3bdad1d177329bd9952c0589b2a99eb9676cb324d1fce46dad0b9a,51859571d807d984e4f1cf145d5d74491feabd19327309c2c598c496a1976c70,d8be9e4d9074088ef818bc6f6fb64955e90378b2754155126feebbbd969cf0ae
5ad8a3b6-6d20-4c95-8fa7-9a507167ba3c,,netfilter2.sys,edc6e32e3545f859e5b49ece1cabd13623122c1f03a2f7454a61034b3ff577ed,dfaefd06b680f9ea837e7815fc1cc7d1f4cc375641ac850667ab20739f46ad22,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
8d3f27bd-c3fd-48d0-913a-e2caa6fbd025,rtkio.sys,rtkio64.sys,916c535957a3b8cbf3336b63b2260ea4055163a9e6b214f2a7005d6d36a4a677,e657e54c341d37881837dbaf553e10bbe31ff2d6ccf9ca939ca5433ec464a73b,70f36413a87faa734af7ba107f105430be009bb7a01948b30bbf0060f8c2d4d3
043773c5-120a-4c6b-8485-8f1f5c47fd3e,aswarpot.sys,aswarpot.sys,0cd4ca335155062182608cad9ef5c8351a715bce92049719dd09c76422cd7b0c,a801e12c32c0eb197b3cc507d096afc16a32dca6bc71d080e1ae2c17ad13b2ca,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
9bf033e4-7295-4b63-8772-638b76851741,,-,dee384604d2d0018473941acbefe553711ded7344a4932daeffb876fe2fa0233,7436cb59411572a6194bfffad9f9e5194107da417457d4e20a6ef1d58491e3c9,40bddadac24dc61ca4fb5cab2a2bc5d876bc36808311039a7a3e1a4066f7489b
e299b0b6-e5e2-45b3-bf0b-c008068cebfa,bs_flash64.sys,bs_flash64.sys,86a8e0aa29a5b52c84921188cc1f0eca9a7904dcfe09544602933d8377720219,543c3f024e4affd0aafa3a229fa19dbe7a70972bb18ed6347d3492dd174edac5,66ef4bb0b353d5f97d46898668f3ea82ac36dd6bf50e70b84fa9a19568fec33f
69b924ab-2e4a-4eae-8091-4151c238136e,b1.sys,b1.sys,a3e507e713f11901017fc328186ae98e23de7cea5594687480229f77d45848d8,-,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
87752fb8-e9f6-4235-91e2-c4343677d817,,mimidrv.sys,082a79311da64b6adc3655e79aa090a9262acaac3b917a363b9571f520a17f6a,e1b3a3a67599aae12c073ba5ca0928c2c316d438c2b5462194c97687dda64903,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
8d3f27bd-c3fd-48d0-913a-e2caa6fbd025,,rtkio.sys,4ed2d2c1b00e87b926fb58b4ea43d2db35e5912975f4400aa7bd9f8c239d08b7,902b754dd302a994074ea8d3e619d2f9000e6c6997e428f19f41533f7c5e192c,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
da7314dc-6cf1-4d74-a0d1-796fc08944f8,windbg.sys,windbg.sys,86047bb1969d1db455493955fd450d18c62a3f36294d0a6c3732c88dfbcc4f62,ff6108dd2017f9bc7ea93c43c1afbda0f1cc7b00f5afafb4ce3cf0a193e9598b,2cd702a7dec30aa441345672e8992ef9770ce4946f276d767b45b0ed627658fb
9bf033e4-7295-4b63-8772-638b76851741,,-,f93e0d776481c4ded177d5e4aebb27f30f0d47dcb4a1448aee8b66099ac686e1,3eea0723a9007f5a85382cd2e92d9f9cc94bb9e2f7fbb6d99a7c70c8527caa5a,03cda47a6e654ed85d932714fc09ce4874600eda29ec6628cfbaeb155cab78c9
0567c6c4-282f-406f-9369-7f876b899c25,procexp.sys,-,3c7e5b25a33a7805c999d318a9523fcae46695a89f55bbdb8bb9087360323dfc,c286dfac5ca413efeb1936e876688b6bd46d25dc64206f86efb4f52ad83d1889,40bddadac24dc61ca4fb5cab2a2bc5d876bc36808311039a7a3e1a4066f7489b
043773c5-120a-4c6b-8485-8f1f5c47fd3e,aswarpot.sys,avgarpot.sys,65008817eb97635826a8708a6411d7b50f762bab81304e457119d669382944c3,9d736f624a306d6e2399778dd92ab7f4f7ab33c6ca0528657bc026214f990a4f,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
e32bc3da-4db1-4858-a62c-6fbe4db6afbd,,rtcore64.sys,a6c05b10a5c090b743a61fa225b09e390e2dd2bd6cb4fd96b987f1e0d3f2124a,b8eb26b6f79020ae988e4fb752dc06e1b6779749bf4f8df2872fc2b92bab8020,40bddadac24dc61ca4fb5cab2a2bc5d876bc36808311039a7a3e1a4066f7489b
e5f12b82-8d07-474e-9587-8c7b3714d60c,zamguard32.sys,zam64.sys,ab2632a4d93a7f3b7598c06a9fdc773a1b1b69a7dd926bdb7cf578992628e9dd,de99cea1cb680816afa10d2629a8067af1dc289d2d162a21b9dba71eb0e47745,92914d016cc46e125e50c4bd0bd7f72db87eed4ba68f3c589b4e86aa563108db
3ab0d182-6365-47a7-89f4-34121e889503,hwos2ec10x64.sys,hwos2ec10x64.sys,bb1135b51acca8348d285dc5461d10e8f57260e7d0c8cc4a092734d53fc40cbc,ab494aba56e9ea7b6055ac437f6b678e7239b0fda54bf28019480565a098a6e3,6d260763a05a13ab7823c6d584f19e5dab26e8e6b56d305ecc7376cd23f411fb
